"Marca temporal","Chocolatada con o sin azúcar","Primero la leche y dsp el nesquik o viceversa "
"2021/06/24 9:04:23 a. m. GMT-3","Con","Dsp la leche"
"2021/06/24 9:04:27 a. m. GMT-3","Con","Dsp la leche"
"2021/06/24 9:04:57 a. m. GMT-3","Sin","Primero la leche"
"2021/06/24 9:06:57 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:07:23 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:07:26 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:07:31 a. m. GMT-3","Sin","Primero la leche"
"2021/06/24 9:08:58 a. m. GMT-3","Sin","Primero la leche"
"2021/06/24 9:11:24 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:14:28 a. m. GMT-3","Sin","Primero la leche"
"2021/06/24 9:15:20 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:23:24 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:25:27 a. m. GMT-3","Con","Dsp la leche"
"2021/06/24 9:26:10 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:34:04 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:39:43 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:40:01 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 9:40:34 a. m. GMT-3","Sin","Primero la leche"
"2021/06/24 9:43:41 a. m. GMT-3","Con","Dsp la leche"
"2021/06/24 9:47:42 a. m. GMT-3","Con","Primero la leche"
"2021/06/24 9:55:11 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 10:07:52 a. m. GMT-3","Con","Dsp la leche"
"2021/06/24 10:16:15 a. m. GMT-3","Con","Dsp la leche"
"2021/06/24 10:18:34 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 10:18:55 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 10:21:19 a. m. GMT-3","Sin","Dsp la leche"
"2021/06/24 10:29:14 a. m. GMT-3","Sin","Dsp la leche"
